"participle","order","country","edited"
"opgezogen","red","BE",TRUE
"gevraagd","green","BE",FALSE
"genomen","red","NL",FALSE
"gezet","red","BE",TRUE
"bepaald","green","BE",TRUE
"ontmoet","green","BE",TRUE
"ontvangen","red","BE",TRUE
"verleend","red","NL",TRUE
"vermoord","red","BE",TRUE
"getrouwd","green","BE",TRUE
"gepleegd","red","BE",TRUE
"beschreven","red","NL",TRUE
"geworden","red","NL",FALSE
"gesneden","green","NL",FALSE
"gezegd","red","BE",TRUE
"gegaan","red","NL",TRUE
"begaan","red","BE",TRUE
"nageleefd","red","BE",TRUE
"gelezen","red","NL",FALSE
"bespaard","red","BE",TRUE
"gehaald","green","BE",TRUE
"opgezet","green","BE",TRUE
"aangesproken","red","BE",TRUE
"gesaboteerd","red","BE",TRUE
"erkend","red","NL",TRUE
"gereageerd","green","BE",TRUE
"misleid","red","NL",TRUE
"geregeld","red","NL",TRUE
"gewenst","green","BE",TRUE
"gemist","red","BE",TRUE
"weggelegd","red","BE",TRUE
"gemanipuleerd","red","NL",TRUE
"gebracht","red","BE",TRUE
"geworden","red","BE",TRUE
"gedaan","red","NL",TRUE
"geduld","green","BE",TRUE
"gesteld","red","NL",TRUE
"gedaan","red","NL",TRUE
"meegegeven","red","BE",TRUE
"gearresteerd","red","BE",TRUE
"verkozen","green","BE",TRUE
"aangeraden","red","BE",TRUE
"ontvangen","red","NL",TRUE
"verkocht","red","BE",TRUE
"gedaan","green","NL",TRUE
"gewend","green","BE",TRUE
"opgedaan","red","NL",TRUE
"opgeworpen","red","NL",TRUE
"geadopteerd","red","NL",TRUE
"gegund","red","BE",TRUE
"gezegd","green","NL",TRUE
"gericht","green","BE",TRUE
"gemist","red","BE",TRUE
"opgewacht","red","BE",TRUE
"gelezen","red","NL",TRUE
"gedaan","red","BE",TRUE
"bevallen","red","NL",TRUE
"misdaan","green","BE",TRUE
"gecoverd","red","BE",TRUE
"binnengevallen","red","BE",FALSE
"gekregen","red","NL",TRUE
"bekeken","green","BE",TRUE
"gegeten","red","NL",TRUE
"gezien","red","NL",TRUE
"geweest","red","NL",TRUE
"gekregen","green","NL",TRUE
"beslist","green","NL",TRUE
"getrouwd","green","NL",TRUE
"gehoord","red","NL",TRUE
"uitgehaald","red","NL",FALSE
"geleerd","red","NL",TRUE
"gerekend","red","NL",TRUE
"gedaan","red","NL",TRUE
"bekend","green","NL",TRUE
"gevonden","red","NL",TRUE
"getrokken","red","BE",TRUE
"gegeven","red","NL",TRUE
"geschoten","red","NL",TRUE
"gevallen","red","BE",TRUE
"genomen","red","BE",TRUE
"geregeerd","green","BE",TRUE
"getwijfeld","red","NL",TRUE
"gered","red","NL",TRUE
"gekregen","red","BE",TRUE
"geholpen","red","BE",TRUE
"gedaan","green","BE",TRUE
"beschuldigd","red","BE",TRUE
"aanvaard","green","BE",TRUE
"gebracht","green","BE",TRUE
"gebleven","red","NL",TRUE
"gewassen","red","BE",TRUE
"neergelegd","red","NL",TRUE
"opgezet","red","NL",FALSE
"gebleven","green","BE",TRUE
"gelegen","red","NL",TRUE
"opgeruimd","green","BE",TRUE
"gekocht","red","BE",TRUE
"vastgesteld","red","BE",TRUE
"betoond","red","BE",TRUE
"opgepakt","red","BE",TRUE
"gekend","green","BE",TRUE
"gekregen","red","BE",TRUE
"gearresteerd","red","BE",TRUE
"geleid","red","NL",TRUE
"gehoord","red","NL",TRUE
"beschuldigd","green","BE",FALSE
"gezondigd","green","NL",TRUE
"gemaakt","green","BE",TRUE
"verklaard","red","BE",TRUE
"geschoten","green","NL",TRUE
"gedaan","red","NL",TRUE
"verwelkomd","green","BE",TRUE
"gekregen","red","BE",TRUE
"gemist","green","BE",TRUE
"verboden","green","BE",TRUE
"verstoten","green","BE",TRUE
"gebeurd","red","NL",TRUE
"gehanteerd","red","NL",TRUE
"geloofd","red","NL",TRUE
"gemaakt","red","BE",FALSE
"gemaakt","red","BE",TRUE
"opgelopen","red","BE",TRUE
"getrouwd","green","NL",TRUE
"ondernomen","green","BE",TRUE
"binnengestapt","green","BE",TRUE
"gemaakt","red","NL",TRUE
"omringd","green","BE",TRUE
"geweest","red","NL",FALSE
"gelogen","green","BE",TRUE
"gestaan","red","NL",FALSE
"gestorven","red","NL",TRUE
"geslagen","red","BE",TRUE
